instance: p01
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.1 4097.056274847716 0.960709767148316

instance: p21
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.5 5875.887243039153 7.325277871849266
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.5 5878.591632821339 7.374674562568742
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.1 5881.625040132106 7.430080881488863
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.0 5881.84619963513 7.434120442517582
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.2 5881.97185539925 7.4364155920401345
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.1 5888.418125989168 7.554159135046291
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.0 5891.244986279608 7.605792795398727
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.2 5894.417849976324 7.663746337360067
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.2 5897.257855029937 7.715620091727558
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.0 5899.050868440423 7.748370152194823

instance: p22
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.2 5867.62048857002 2.9017159913089046
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.1 5871.94787490959 2.9776062914683052
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.5 5876.6948282255535 3.060854627466668
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.0 5877.587131266476 3.0765031368196674
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.0 5879.6826431334575 3.1132525768034895
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.5 5882.137455235808 3.156303141893744
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.1 5882.5109045204335 3.1628524019044306
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.2 5885.137241546752 3.2089110362871764
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.2 5885.596239270152 3.216960577573275
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.5 5888.195653446224 3.2625470601706184

instance: p23
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.0 6145.584412271574 0.8223237011082745
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.5 6145.584412271574 0.8223237011082745
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.2 6145.584412271574 0.8223237011082745
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.1 6145.584412271574 0.8223237011082745
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.2 6145.584412271574 0.8223237011082745
evolve-10-population-200-tournament-group-2-crossover-0.8-mutation-0.1 6145.584412271574 0.8223237011082745
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.0 6145.584412271574 0.8223237011082745
evolve-10-population-200-tournament-group-2-crossover-0.6-mutation-0.5 6145.584412271574 0.8223237011082745
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.1 6145.584412271574 0.8223237011082745
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.1 6145.584412271574 0.8223237011082745

instance: pr01
evolve-10-population-200-tournament-group-2-crossover-1.0-mutation-0.0 891.2357174523602 3.4732407760600097
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.0 891.8201497874269 3.5410938777024654
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.2 894.8843289420258 3.8968477385902816
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.1 895.0005114377796 3.9103366272441633
evolve-10-population-200-tournament-group-2-crossover-1.0-mutation-0.1 895.6114747948691 3.98127000358393
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.0 896.4284179419465 4.076117812421231
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.2 896.5935440220345 4.095289093720623
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.2 896.9128939430194 4.132365896881467
evolve-10-population-200-tournament-group-2-crossover-0.8-mutation-0.0 898.4361608080238 4.309218502765958
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.5 898.7307004413565 4.343414809984253

instance: pr02
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.1 1421.2916047469573 8.693846387451714
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.1 1423.4273463370978 8.857178083457441
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.1 1425.3288894620778 9.002599357765519
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.0 1425.8050804327631 9.039016253528445
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.0 1426.3066145141472 9.077371273862028
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.5 1427.7812077609713 9.190141384737899
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.5 1429.4081008839512 9.314558689819691
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.2 1431.3903830898137 9.466154517770121
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.5 1431.521041113896 9.476146642645446
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.0 1433.6964055047335 9.642508508250444

instance: pr03
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.5 1931.9149357937386 6.9365070183626045
evolve-10-population-200-tournament-group-5-crossover-0.8-mutation-0.2 1932.7274185809297 6.981480049868807
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.5 1936.0446829157033 7.165099242538673
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.2 1936.531840859068 7.19206469938382
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.5 1937.8219787283274 7.263477179692657
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.5 1937.9938017163176 7.2729880281366945
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.5 1938.9078229613829 7.323581476883817
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.2 1939.0489384951643 7.331392588019725
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.1 1939.2179878343675 7.340749907802916
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.2 1939.4909347604741 7.355858228743173

instance: pr04
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.2 2242.3431615588597 8.194042110998197
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.0 2252.592523784956 8.688578338687023
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.0 2252.849959345396 8.7009997175128
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.1 2259.2406170640793 9.009351758442833
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.5 2259.696916890282 9.031368425408786
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.5 2259.719747485084 9.032470011632427
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.1 2259.8855456360766 9.040469845216293
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.5 2261.094402385476 9.098797714158422
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.1 2261.365961614889 9.111900566213535
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.0 2263.819124794691 9.230266766771422

instance: pr05
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.0 2691.4410327370406 12.812259049993955
